div3
person, D r. Covell
catnum,-1090.
div2,Miscellanies.
div3
person, M r. Dupuys
catnum,-1100.
div2,Miscellanies.
div3
person, D r. Covell
catnum,-1101.
div2,Miscellanies.
div3
person, M r. Dupuys
catnum,-1104.
div2,Miscellanies.
div3
person,M rs. Astall
catnum,-1119.
div2,Miscellanies.
div3
person, M r. Dupuys
catnum,-1123.
div2,Miscellanies.
div3
person, M r. Dupuys
catnum,-1124.
div2,Miscellanies.
div3
person,Caspar Antonio 
catnum,-1125.
div2,Miscellanies.
div3
person, D r. Covell
catnum,-1126.
div2,Miscellanies.
div3
person, M r. Bell
catnum,-1133.
div2,Miscellanies.
div3
person, M r. Bell
catnum,-1134.
div2,Miscellanies.
div3
person, M r. Bell
catnum,-1135.
div2,Miscellanies.
div3
person, Gio. Bapt. Verle
catnum,-1138.
div2,Miscellanies.
div3
person, D r. Kempfer
catnum,-1139.
div2,Miscellanies.
div3
person, D r. Kempfer
catnum,-1142.
div2,Miscellanies.
div3
person, D r. Kempfer
catnum,-1160.
div2,Miscellanies.
div3
person, D r. Kempfer
catnum,-1170.
div2,Miscellanies.
div3
person,M r. Hawkins
catnum,-1171.
div2,Miscellanies.
div3
person, King William the 3 d 
catnum,-1183.
div2,Miscellanies.
div3
person, King George y e 1 st.
catnum,-1184.
div2,Miscellanies.
div3
person,Lady Darlington
catnum,-1196.
div2,Miscellanies.
div3
person,M r. Franklin
catnum,-1202.
div2,Miscellanies.
div3
person, M r. Catesby
catnum,-1203.
div2,Miscellanies.
div3
person,M r. Geoffroy
catnum,-1204.
div2,Miscellanies.
div3
person, M r. Francklyn
catnum,-1205.
div2,Miscellanies.
div3
person,M r. Hennepin
catnum,-1215.
div2,Miscellanies.
div3
person, Coll. Nicholson
catnum,-1218.
div2,Miscellanies.
div3
person, D r. Houston
catnum,-1232.
div2,Miscellanies.
div3
person,M r. Theobalds
catnum,-1236.
div2,Miscellanies.
div3
person, Coll. Nicholson.
catnum,-1237.
div2,Miscellanies.
div3
person,S r. Nicholas Waite
catnum,-1238.
div2,Miscellanies.
div3
person, D r. Kempfer.
catnum,-1239.
div2,Miscellanies.
div3
person,M r. Theobalds
catnum,-1243.
div2,Miscellanies.
div3
person, D r Steigertahl
catnum,-1245.
div2,Miscellanies.
div3
person, M r. Fuller
catnum,-1246.
div2,Miscellanies.
div3
person,M r. Campbell.
catnum,-1257.
div2,Miscellanies.
div3
person, D r. Covell
catnum,-1266.
div2,Miscellanies.
div3
person, M r. Gale
catnum,-1269.
div2,Miscellanies.
div3
person, Baron Rostgards
catnum,-1270.
div2,Miscellanies.
div3
person, D r. Covell.
catnum,-1271.
div2,Miscellanies.
div3
person, M r. Courten
catnum,-1272.
div2,Miscellanies.
div3
person,M r. Skinner
person, M r. Lockyer.
catnum,-1281.
div2,Miscellanies.
div3
person,D r. Hubbert
catnum,-1284.
div2,Miscellanies.
div3
person,D r. Hubert
catnum,-1307.
div2,Miscellanies.
div3
person,M r. Elking
catnum,-1332.
div2,Miscellanies.
div3
person,M r. Pitts.
person, D r. Mortimer
catnum,-1336.
div2,Miscellanies.
div3
person,M r. Harris
catnum,-1343.
div2,Miscellanies.
div3
person,D r. Burnett
catnum,-1344.
div2,Miscellanies.
div3
person, M r. Gale
catnum,-1346.
div2,Miscellanies.
div3
person, D r. Hoffman
person,D r. Plumptree
catnum,-1347.
div2,Miscellanies.
div3
person,M r. John Heathcote
catnum,-1349.
div2,Miscellanies.
div3
person,M rs. Shepherd
catnum,-1353.
div2,Miscellanies.
div3
person,M r. Clerk
catnum,-1368.
div2,Miscellanies.
div3
person,M rs. Dering
catnum,-1371.
div2,Miscellanies.
div3
person,M r. Clerk
catnum,-1373.
div2,Miscellanies.
div3
person,governor Bennet
catnum,-1382.
div2,Miscellanies.
div3
person, M r. Bell
catnum,-1383.
div2,Miscellanies.
div3
